latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count,land_cover_class,land_cover_name,label
18.68191,73.03266,304.9,0.66,0.73,2025-03-23,1952,N,VIIRS,n,2,293.43,2.6,N,2,87,50.0,Built-up,1
20.5304,74.60001,340.54,0.41,0.37,2025-02-22,806,N,VIIRS,l,2,313.39,4.72,D,0,1,40.0,Cropland,0
22.00442,82.26474,336.38,0.56,0.51,2025-02-09,710,N,VIIRS,n,2,307.11,2.81,D,0,2,40.0,Cropland,0
22.03977,83.73299,367.0,0.34,0.56,2025-03-15,812,N,VIIRS,h,2,318.49,11.11,D,2,440,30.0,Grassland,1
23.1648,82.3373,345.43,0.36,0.58,2025-02-20,1932,N,VIIRS,n,2,291.94,6.24,N,2,174,80.0,Permanent water,1
23.6868,86.39283,330.2,0.47,0.48,2025-01-27,2022,N,VIIRS,n,2,291.4,5.12,N,2,235,,Unknown,1
13.08404,78.91234,338.1,0.4,0.44,2025-03-25,822,N,VIIRS,n,2,306.56,4.79,D,0,1,10.0,Tree cover,0
21.50348,82.22701,347.36,0.44,0.38,2025-03-16,753,N,VIIRS,n,2,307.84,5.22,D,0,2,40.0,Cropland,0
21.07906,85.03915,329.12,0.41,0.45,2025-01-11,753,N,VIIRS,l,2,303.62,5.53,D,2,259,,Unknown,1
15.18497,76.64233,307.13,0.5,0.41,2025-02-27,2043,N,VIIRS,n,2,294.49,1.89,N,2,17,50.0,Built-up,1
21.19682,82.09884,342.2,0.52,0.5,2025-02-27,812,N,VIIRS,n,2,312.66,7.32,D,0,1,40.0,Cropland,0
23.71893,86.44392,306.83,0.51,0.49,2025-02-15,1925,N,VIIRS,n,2,293.29,5.06,N,2,229,,Unknown,1
21.87815,83.49757,305.86,0.43,0.46,2025-02-01,2029,N,VIIRS,n,2,292.67,1.75,N,2,38,50.0,Built-up,1
21.91902,83.35298,314.97,0.41,0.61,2025-01-31,2048,N,VIIRS,n,2,293.34,2.13,N,2,390,50.0,Built-up,1
21.28421,79.14069,347.35,0.42,0.45,2025-03-20,818,N,VIIRS,n,2,310.87,10.55,D,0,56,,Unknown,1
23.81801,82.12134,345.11,0.44,0.46,2025-03-26,806,N,VIIRS,n,2,311.06,3.79,D,0,1,10.0,Tree cover,0
23.16777,82.3333,324.31,0.72,0.76,2025-02-21,1913,N,VIIRS,n,2,289.28,2.44,N,2,64,50.0,Built-up,1
23.16603,82.33599,352.92,0.45,0.39,2025-03-12,729,N,VIIRS,n,2,317.38,7.26,D,2,394,30.0,Grassland,1
21.3066,81.38511,332.09,0.39,0.36,2025-01-17,741,N,VIIRS,n,2,301.96,2.45,D,0,1,30.0,Grassland,0
15.93936,79.03874,338.48,0.45,0.39,2025-02-27,811,N,VIIRS,l,2,308.86,2.99,D,0,1,20.0,Shrubland,0
10.8979,78.12007,331.94,0.44,0.46,2025-02-10,829,N,VIIRS,l,2,302.14,4.8,D,0,1,30.0,Grassland,0
20.79352,85.25395,342.73,0.36,0.57,2025-02-06,2035,N,VIIRS,n,2,293.67,5.59,N,2,120,,Unknown,1
17.58329,77.04465,306.83,0.49,0.65,2025-03-08,2114,N,VIIRS,n,2,290.72,0.73,N,0,2,40.0,Cropland,0
17.84859,80.9619,337.07,0.51,0.5,2025-01-31,818,N,VIIRS,n,2,307.0,3.02,D,0,1,40.0,Cropland,0
13.99933,78.87742,332.71,0.42,0.45,2025-03-22,739,N,VIIRS,n,2,300.92,1.74,D,0,1,20.0,Shrubland,0
