latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,persistence_count
15.26591,76.00134,338.05,0.4,0.37,2025-02-22,805,N,VIIRS,l,2,311.53,20.12,D,0,2
18.20561,82.31876,333.95,0.38,0.43,2025-03-26,805,N,VIIRS,l,2,306.5,1.63,D,0,3
23.47744,82.69604,348.6,0.41,0.37,2025-03-27,747,N,VIIRS,n,2,316.73,6.38,D,0,2
23.7956,85.40321,304.27,0.39,0.36,2025-03-28,1956,N,VIIRS,n,2,294.04,0.5,N,0,1
20.0402,82.26964,340.12,0.43,0.38,2025-03-16,753,N,VIIRS,n,2,308.62,2.72,D,0,4
20.31874,80.53104,302.68,0.44,0.46,2025-03-07,1951,N,VIIRS,n,2,292.12,0.99,N,0,3
22.10799,83.52502,315.58,0.42,0.37,2025-03-28,1957,N,VIIRS,n,2,297.82,1.86,N,2,69
24.62998,93.07729,332.76,0.4,0.37,2025-03-08,704,N,VIIRS,n,2,299.21,1.8,D,0,2
25.75969,90.67896,335.4,0.43,0.38,2025-03-18,716,N,VIIRS,n,2,305.17,41.59,D,0,4
22.17044,83.32319,340.54,0.61,0.53,2025-03-08,703,N,VIIRS,n,2,309.48,6.32,D,0,3
20.79352,85.25395,342.73,0.36,0.57,2025-02-06,2035,N,VIIRS,n,2,293.67,5.59,N,2,120
25.60417,94.16679,331.64,0.44,0.38,2025-03-24,703,N,VIIRS,n,2,303.77,2.73,D,0,2
26.50036,93.1352,333.35,0.39,0.36,2025-03-30,651,N,VIIRS,n,2,302.2,3.31,D,0,5
23.55382,87.2401,323.63,0.37,0.58,2025-03-25,1912,N,VIIRS,n,2,294.68,1.61,N,2,85
12.88698,78.59843,338.15,0.45,0.39,2025-03-16,751,N,VIIRS,l,2,306.57,10.11,D,0,3
20.78489,85.26802,300.05,0.41,0.37,2025-01-12,2004,N,VIIRS,n,2,288.65,0.96,N,2,15
23.36465,83.8539,299.59,0.39,0.44,2025-03-18,1944,N,VIIRS,n,2,286.58,0.43,N,0,1
22.35341,82.29623,306.64,0.45,0.39,2025-01-11,2022,N,VIIRS,n,2,282.94,3.85,N,2,40
17.67775,82.26587,306.86,0.5,0.41,2025-03-16,2023,N,VIIRS,n,2,294.93,2.09,N,0,1
13.49359,78.03316,350.39,0.38,0.36,2025-02-06,804,N,VIIRS,n,2,313.71,3.53,D,0,1
26.57614,92.33057,342.88,0.4,0.37,2025-02-20,704,N,VIIRS,n,2,298.5,5.47,D,0,1
15.29643,75.69892,343.39,0.49,0.49,2025-03-11,746,N,VIIRS,n,2,312.55,4.22,D,0,1
22.48891,92.53008,336.3,0.48,0.65,2025-03-27,747,N,VIIRS,n,2,297.95,4.03,D,0,1
20.96738,86.01488,319.5,0.39,0.36,2025-03-12,1957,N,VIIRS,n,2,299.6,2.18,N,2,190
